URL;Aantal unieke paginaweergaves;;;;
/lidocaine-in-de-mond;34.216;;;;
/kunsttranen-zonder-conserveermiddel;34.090;;;;
/salicylzuur-bij-wratten-likdoorns-en-schimmelnagels;33.469;;;;
/celecoxib;33.012;;;;
/morning-afterpil-met-levonorgestrel;32.858;;;;
/isosorbidemononitraat;32.433;;;;
/chlooramfenicol-in-het-oog;32.267;;;;
/allopurinol;32.115;;;;
/magnesiumoxide;31.896;;;;
/clindamycine-om-in-te-nemen;31.867;;;;
/ureum-op-de-huid;31.752;;;;
/gliclazide;31.653;;;;
paracetamol-bij-kinderen;30.957;;;;
/colchicine;30.929;;;;
/ondansetron;30.830;;;;
/nadroparine;30.502;;;;
/fluticason-inhalatie;30.465;;;;
/metronidazol-in-de-vagina;30.123;;;;
/aciclovir-om-in-te-nemen;29.829;;;;
/digoxine;29.695;;;;
/baclofen;29.555;;;;
amoxicilline-bij-kinderen;29.362;;;;
/miconazol-met-hydrocortisonacetaat;29.280;;;;
/trimethoprim-met-sulfamethoxazol;28.842;;;;
/disulfiram;28.784;;;;
/mesalazine;28.713;;;;
/topiramaat;28.580;;;;
/letrozol;28.473;;;;
/miconazol-in-de-vagina;28.305;;;;
/ezetimib;28.184;;;;
/azijnzuur-in-het-oor;27.866;;;;
/nitroglycerine-voor-onder-de-tong;27.615;;;;
/buprenorfine;27.571;;;;
mebendazol-bij-kinderen;27.422;;;;
/adrenaline-injectie;27.167;;;;
/clindamycine-op-de-huid;26.571;;;;
/methylprednisolon;26.567;;;;
/adapaleen;26.493;;;;
/formoterol-met-budesonide-inhalatie;26.459;;;;
/bumetanide;26.198;;;;
/calciumcarbonaat-met-vitamine-d;26.037;;;;
/sotalol;25.738;;;;
/paracetamol-met-codeine;25.544;;;;
/fusidinezuur-in-het-oog;25.534;;;;
/claritromycine;25.518;;;;
/deet;25.448;;;;
/verkoelende-en-beschermende-zalf;25.410;;;;
/vitamine-b1;25.311;;;;
/ivermectine-op-de-huid;25.274;;;;
/zilversulfadiazine-voor-op-de-huid;25.216;;;;
/calciumcarbonaat;25.186;;;;
/infliximab;25.181;;;;
/estradiol-met-nomegestrol;25.078;;;;
/ichthammol-op-de-huid;25.034;;;;
/mirabegron;24.981;;;;
/clomipramine;24.795;;;;
/betahistine;24.642;;;;
/denosumab;24.574;;;;
/pipamperon;24.407;;;;
/estradiol-om-in-te-nemen;24.256;;;;
/pepermuntolie-om-in-te-nemen;24.061;;;;
/mupirocine;24.038;;;;
/beclometason-inhalatie;23.723;;;;
/clotrimazol-op-de-huid;23.476;;;;
/lynestrenol;23.408;;;;
/oxybutynine;23.406;;;;
/pramipexol;23.363;;;;
